PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,PG.CV,PG.Qvalue,PG.MolecularWeight,control_detected_samples,control_detection_rate,low_detected_samples,low_detection_rate,high_detected_samples,high_detection_rate
A0A0C4DH34,IGHV4-28,Immunoglobulin heavy variable 4-28,HV428_HUMAN,1.070386719821807,0.0073810825587752,13124.06,140,0.9150326797385621,173,0.9301075268817204,162,0.9204545454545454
A0A0C4DH36,IGHV3-38,Probable non-functional immunoglobulin heavy variable 3-38,HV338_HUMAN,1.357791220602419,0.0016233766233766,12758.54,105,0.6862745098039216,151,0.8118279569892473,138,0.7840909090909091
A0A0C4DH38,IGHV5-51,Immunoglobulin heavy variable 5-51,HV551_HUMAN,1.519484382505339,0.0040983606557377,12674.55,140,0.9150326797385621,178,0.956989247311828,164,0.9318181818181818
A0A0C4DH43,IGHV2-70D,Immunoglobulin heavy variable 2-70D,HV70D_HUMAN,1.956001249093612,0.0073810825587752,13312.45,141,0.9215686274509803,166,0.8924731182795699,159,0.9034090909090909
A0A0C4DH67,IGKV1-8,Immunoglobulin kappa variable 1-8,KV108_HUMAN,0.9698835137681612,0.0016233766233766,12537.31,133,0.869281045751634,161,0.8655913978494624,167,0.9488636363636364
A0A0G2JS06,IGLV5-39,Immunoglobulin lambda variable 5-39,LV539_HUMAN,2.481968289063105,0.0073810825587752,13394.08,139,0.9084967320261438,163,0.8763440860215054,156,0.8863636363636364
A0A0J9YX35,IGHV3-64D,Immunoglobulin heavy variable 3-64D,HV64D_HUMAN,1.316506323784345,0.0016233766233766,12822.57,137,0.8954248366013072,174,0.9354838709677419,164,0.9318181818181818
A0A0J9YXX1,IGHV5-10-1,Immunoglobulin heavy variable 5-10-1,HV5X1_HUMAN,1.55214570211808,0.0073810825587752,12772.57,112,0.7320261437908496,148,0.7956989247311828,134,0.7613636363636364
A0A1B0GTC6,C3orf85,Uncharacterized protein C3orf85,CC085_HUMAN,0.6505657607169092,0.0040983606557377,10385.93,153,1.0,186,1.0,176,1.0
A0M8Q6,IGLC7,Immunoglobulin lambda constant 7,IGLC7_HUMAN,0.8616601287827661,0.0073810825587752,11253.59,151,0.9869281045751634,183,0.9838709677419355,172,0.9772727272727273
A0PJW8,DAPL1,Death-associated protein-like 1,DAPL1_HUMAN,1.576964708955268,0.0073810825587752,11879.96,108,0.7058823529411765,93,0.5,107,0.6079545454545454
A1L4H1,SSC5D,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,SRCRL_HUMAN,0.6781561597944873,0.0040983606557377,165742.73,153,1.0,186,1.0,176,1.0
A2A3L6,TTC24,Tetratricopeptide repeat protein 24,TTC24_HUMAN,1.041152229553386,0.0073810825587752,63396.45,127,0.8300653594771242,172,0.9247311827956989,142,0.8068181818181818
A2CJ06,DYTN,Dystrotelin,DYTN_HUMAN,0.6173116738955943,0.0073810825587752,65319.79,132,0.8627450980392157,167,0.8978494623655914,153,0.8693181818181818
A2NJV5,IGKV2-29,Immunoglobulin kappa variable 2-29,KV229_HUMAN,1.045029244500158,0.0016233766233766,13085.04,153,1.0,186,1.0,176,1.0
A6NDG6,PGP,Glycerol-3-phosphate phosphatase,PGP_HUMAN,0.6262161281909103,0.0058910162002945,34006.06,140,0.9150326797385621,172,0.9247311827956989,153,0.8693181818181818
A6NH11,GLTPD2,Glycolipid transfer protein domain-containing protein 2,GLTD2_HUMAN,0.6667545545330928,0.0073810825587752,31641.6,84,0.5490196078431373,121,0.6505376344086021,94,0.5340909090909091
A6NL88,SHISA7,Protein shisa-7,SHSA7_HUMAN,0.7074428439055316,0.0040983606557377,56213.58,143,0.934640522875817,185,0.9946236559139785,165,0.9375
A6NM11;A6NMS7,LRRC37A2;LRRC37A,Leucine-rich repeat-containing protein 37A2;Leucine-rich repeat-containing protein 37A,L37A2_HUMAN;L37A1_HUMAN,0.5773559152371951,0.0072727272727272,188392.54;188258.42,142,0.9281045751633987,170,0.9139784946236559,151,0.8579545454545454
A6NML5,TMEM212,Transmembrane protein 212,TM212_HUMAN,1.292661326075326,0.0073810825587752,21425.22,109,0.7124183006535948,142,0.7634408602150538,123,0.6988636363636364
A8K2U0,A2ML1,Alpha-2-macroglobulin-like protein 1,A2ML1_HUMAN,1.528720150980046,0.0040983606557377,161106.52,104,0.6797385620915033,105,0.5645161290322581,110,0.625
A8MYB1,TMCO5B,Transmembrane and coiled-coil domain-containing protein 5B,TMC5B_HUMAN,1.239290345531549,0.0073810825587752,35762.99,141,0.9215686274509803,175,0.9408602150537635,154,0.875
B0I1T2,MYO1G,Unconventional myosin-Ig,MYO1G_HUMAN,0.5956341969155148,0.0040983606557377,116442.07,153,1.0,182,0.978494623655914,169,0.9602272727272727
B2RUZ4,SMIM1,Small integral membrane protein 1,SMIM1_HUMAN,0.6655368202025893,0.0072727272727272,8749.12,132,0.8627450980392157,169,0.9086021505376344,145,0.8238636363636364
E9PAV3,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",NACAM_HUMAN,0.5557732651453169,0.0065597667638483,205421.52,121,0.7908496732026143,150,0.8064516129032258,144,0.8181818181818182
O00139,KIF2A,Kinesin-like protein KIF2A,KIF2A_HUMAN,1.892922263266672,0.0040983606557377,79954.54,77,0.5032679738562091,103,0.553763440860215,102,0.5795454545454546
O00151,PDLIM1,PDZ and LIM domain protein 1,PDLI1_HUMAN,2.158304876258407,0.0040983606557377,36071.71,144,0.9411764705882353,177,0.9516129032258065,166,0.9431818181818182
O00154,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,BACH_HUMAN,0.9368163275980202,0.0072727272727272,41796.02,98,0.6405228758169934,107,0.5752688172043011,99,0.5625
O00159,MYO1C,Unconventional myosin-Ic,MYO1C_HUMAN,0.8813042187755954,0.0040983606557377,121681.67,105,0.6862745098039216,138,0.7419354838709677,123,0.6988636363636364
O00160,MYO1F,Unconventional myosin-If,MYO1F_HUMAN,1.20055277759016,0.006765899864682,124844.28,78,0.5098039215686274,115,0.6182795698924731,98,0.5568181818181818
O00161,SNAP23,Synaptosomal-associated protein 23,SNP23_HUMAN,1.895019964929095,0.0040983606557377,23354.04,123,0.803921568627451,142,0.7634408602150538,130,0.7386363636363636
O00186,STXBP3,Syntaxin-binding protein 3,STXB3_HUMAN,1.558978720078719,0.0073810825587752,67764.27,133,0.869281045751634,163,0.8763440860215054,140,0.7954545454545454
O00187,MASP2,Mannan-binding lectin serine protease 2,MASP2_HUMAN,0.5235258794783805,0.0016233766233766,75702.36,153,1.0,186,1.0,176,1.0
O00194,RAB27B,Ras-related protein Rab-27B,RB27B_HUMAN,2.600254524602919,0.0016233766233766,24607.84,139,0.9084967320261438,175,0.9408602150537635,160,0.9090909090909091
O00203,AP3B1,AP-3 complex subunit beta-1,AP3B1_HUMAN,1.281678964147072,0.0040983606557377,121320.17,83,0.5424836601307189,111,0.5967741935483871,94,0.5340909090909091
O00231,PSMD11,26S proteasome non-ATPase regulatory subunit 11,PSD11_HUMAN,0.9712342448866244,0.0016233766233766,47463.77,144,0.9411764705882353,171,0.9193548387096774,159,0.9034090909090909
O00232,PSMD12,26S proteasome non-ATPase regulatory subunit 12,PSD12_HUMAN,6.632963285336721,0.0055467511885895,52904.4,134,0.8758169934640523,161,0.8655913978494624,147,0.8352272727272727
O00233,PSMD9,26S proteasome non-ATPase regulatory subunit 9,PSMD9_HUMAN,0.8753422356098832,0.0016233766233766,24681.81,120,0.7843137254901961,141,0.7580645161290323,120,0.6818181818181818
O00264,PGRMC1,Membrane-associated progesterone receptor component 1,PGRC1_HUMAN,1.286253630447219,0.0040983606557377,21671.15,141,0.9215686274509803,176,0.946236559139785,148,0.8409090909090909
O00299,CLIC1,Chloride intracellular channel protein 1,CLIC1_HUMAN,1.500441151143303,0.0016233766233766,26922.72,153,1.0,186,1.0,176,1.0
O00339,MATN2,Matrilin-2,MATN2_HUMAN,0.6658703939354366,0.0040983606557377,106836.92,142,0.9281045751633987,173,0.9301075268817204,158,0.8977272727272727
O00391,QSOX1,Sulfhydryl oxidase 1,QSOX1_HUMAN,0.6193540725565324,0.0016233766233766,82577.73,153,1.0,186,1.0,176,1.0
O00410,IPO5,Importin-5,IPO5_HUMAN,0.84560932877311,0.0072727272727272,123629.93,130,0.8496732026143791,150,0.8064516129032258,135,0.7670454545454546
O00429,DNM1L,Dynamin-1-like protein,DNM1L_HUMAN,2.285240547261644,0.0040983606557377,81877.15,132,0.8627450980392157,150,0.8064516129032258,140,0.7954545454545454
O00461,GOLIM4,Golgi integral membrane protein 4,GOLI4_HUMAN,0.5721461465650642,0.0016233766233766,81880.31,153,1.0,186,1.0,176,1.0
O00468,AGRN,Agrin,AGRIN_HUMAN,0.4750739367945965,0.0016233766233766,217319.53,153,1.0,186,1.0,176,1.0
O00487,PSMD14,Ubiquitin C-terminal hydrolase PSMD14,PSDE_HUMAN,3.174041701174794,0.0040983606557377,34577.03,137,0.8954248366013072,162,0.8709677419354839,147,0.8352272727272727
O00533,CHL1,Neural cell adhesion molecule L1-like protein,NCHL1_HUMAN,0.6073526159059773,0.0016233766233766,135071.47,153,1.0,186,1.0,176,1.0
O00560,SDCBP,Syntenin-1,SDCB1_HUMAN,0.8244020552816771,0.0016233766233766,32444.38,150,0.9803921568627451,184,0.989247311827957,170,0.9659090909090909
O00571,DDX3X,ATP-dependent RNA helicase DDX3X,DDX3X_HUMAN,1.058567432727973,0.0072727272727272,73243.41,90,0.5882352941176471,117,0.6290322580645161,100,0.5681818181818182
O00585,CCL21,C-C motif chemokine 21,CCL21_HUMAN,0.7035249462242207,0.0072727272727272,14646.14,81,0.5294117647058824,110,0.5913978494623656,88,0.5
O00592,PODXL,Podocalyxin,PODXL_HUMAN,0.940651176746225,0.0040983606557377,58635.25,153,1.0,186,1.0,176,1.0
O00602,FCN1,Ficolin-1,FCN1_HUMAN,0.5935523819754559,0.0040983606557377,35078.4,142,0.9281045751633987,169,0.9086021505376344,152,0.8636363636363636
O00743,PPP6C,Serine/threonine-protein phosphatase 6 catalytic subunit,PPP6_HUMAN,0.8335090726339476,0.0073810825587752,35144.26,99,0.6470588235294118,124,0.6666666666666666,108,0.6136363636363636
O14498,ISLR,Immunoglobulin superfamily containing leucine-rich repeat protein,ISLR_HUMAN,0.5407285994731021,0.0016233766233766,45997.31,136,0.8888888888888888,178,0.956989247311828,161,0.9147727272727273
O14594,NCAN,Neurocan core protein,NCAN_HUMAN,0.506302968271929,0.0016233766233766,143093.22,153,1.0,186,1.0,176,1.0
O14602;P47813,EIF1AY;EIF1AX,"Eukaryotic translation initiation factor 1A, Y-chromosomal;Eukaryotic translation initiation factor 1A, X-chromosomal",IF1AY_HUMAN;IF1AX_HUMAN,0.9963491146694604,0.0072727272727272,16442.36;16460.4,149,0.9738562091503268,172,0.9247311827956989,156,0.8863636363636364
O14618,CCS,Copper chaperone for superoxide dismutase,CCS_HUMAN,1.153208388983353,0.0040983606557377,29040.6,78,0.5098039215686274,98,0.5268817204301075,88,0.5
O14645,DNALI1,Axonemal dynein light intermediate polypeptide 1,IDLC_HUMAN,0.7266815106320329,0.0016233766233766,29662,144,0.9411764705882353,176,0.946236559139785,160,0.9090909090909091
O14656,TOR1A,Torsin-1A,TOR1A_HUMAN,0.5648735030080235,0.0040983606557377,37808.72,122,0.7973856209150327,157,0.8440860215053764,137,0.7784090909090909
O14672,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,ADA10_HUMAN,0.7167812006695425,0.0030581039755351,84142.12,153,1.0,186,1.0,173,0.9829545454545454
O14717,TRDMT1,tRNA (cytosine(38)-C(5))-methyltransferase,TRDMT_HUMAN,0.6235029410670294,0.0073810825587752,44596.58,78,0.5098039215686274,124,0.6666666666666666,88,0.5
O14744,PRMT5,Protein arginine N-methyltransferase 5,ANM5_HUMAN,0.7263551890775225,0.0073810825587752,72683.86,108,0.7058823529411765,112,0.6021505376344086,107,0.6079545454545454
O14745,NHERF1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,NHRF1_HUMAN,0.9816309644101262,0.0016233766233766,38868.43,153,1.0,185,0.9946236559139785,174,0.9886363636363636
O14773,TPP1,Tripeptidyl-peptidase 1,TPP1_HUMAN,1.357895218820916,0.0073810825587752,61247.93,113,0.738562091503268,156,0.8387096774193549,133,0.7556818181818182
O14786,NRP1,Neuropilin-1,NRP1_HUMAN,0.4306481184347407,0.0016233766233766,103134.34,153,1.0,186,1.0,176,1.0
O14791,APOL1,Apolipoprotein L1,APOL1_HUMAN,0.5162644622665462,0.0016233766233766,43974.2,153,1.0,186,1.0,176,1.0
O14818,PSMA7,Proteasome subunit alpha type-7,PSA7_HUMAN,0.7879961135970243,0.0016233766233766,27886.84,152,0.9934640522875817,183,0.9838709677419355,172,0.9772727272727273
O14950;P19105,MYL12B;MYL12A,Myosin regulatory light chain 12B;Myosin regulatory light chain 12A,ML12B_HUMAN;ML12A_HUMAN,2.341878462933501,0.0016233766233766,19779.15;19794.13,152,0.9934640522875817,185,0.9946236559139785,174,0.9886363636363636
O14960,LECT2,Leukocyte cell-derived chemotaxin-2,LECT2_HUMAN,0.9654390502748236,0.0073810825587752,16389.96,153,1.0,186,1.0,176,1.0
O14979,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like,HNRDL_HUMAN,0.8630309868616091,0.006765899864682,46437.53,103,0.673202614379085,129,0.6935483870967742,115,0.6534090909090909
O14980,XPO1,Exportin-1,XPO1_HUMAN,3.195232868037096,0.0073810825587752,123385.88,93,0.6078431372549019,113,0.6075268817204301,114,0.6477272727272727
O14983,ATP2A1,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,AT2A1_HUMAN,2.041515076972872,0.0073810825587752,110252.48,116,0.7581699346405228,116,0.6236559139784946,119,0.6761363636363636
O15031,PLXNB2,Plexin-B2,PLXB2_HUMAN,0.5344682778499655,0.0072727272727272,205127.21,131,0.8562091503267973,173,0.9301075268817204,151,0.8579545454545454
O15084,ANKRD28,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,ANR28_HUMAN,0.8382566665376123,0.0040983606557377,112965.79,89,0.5816993464052288,120,0.6451612903225806,105,0.5965909090909091
O15111,CHUK,Inhibitor of nuclear factor kappa-B kinase subunit alpha,IKKA_HUMAN,0.975282820191512,0.0078146052277014,84639.58,78,0.5098039215686274,99,0.532258064516129,92,0.5227272727272727
O15117,FYB1,FYN-binding protein 1,FYB1_HUMAN,1.457906559514832,0.0040983606557377,85387.1,133,0.869281045751634,160,0.8602150537634409,137,0.7784090909090909
O15143,ARPC1B,Actin-related protein 2/3 complex subunit 1B,ARC1B_HUMAN,1.668715290639565,0.0073810825587752,40949.78,136,0.8888888888888888,169,0.9086021505376344,148,0.8409090909090909
O15144,ARPC2,Actin-related protein 2/3 complex subunit 2,ARPC2_HUMAN,2.107461014839014,0.0040983606557377,34333.01,146,0.954248366013072,176,0.946236559139785,169,0.9602272727272727
O15145,ARPC3,Actin-related protein 2/3 complex subunit 3,ARPC3_HUMAN,1.843347242918242,0.0016233766233766,20546.67,152,0.9934640522875817,180,0.967741935483871,171,0.9715909090909091
O15204,ADAMDEC1,ADAM DEC1,ADEC1_HUMAN,0.6075195856906386,0.0016233766233766,52775.42,153,1.0,186,1.0,176,1.0
O15335,CHAD,Chondroadherin,CHAD_HUMAN,0.5883545323558997,0.0058910162002945,40475.82,153,1.0,186,1.0,176,1.0
O15400,STX7,Syntaxin-7,STX7_HUMAN,0.7261868476216492,0.0016233766233766,29815.53,152,0.9934640522875817,184,0.989247311827957,171,0.9715909090909091
O15466,ST8SIA5,"Alpha-2,8-sialyltransferase 8E",SIA8E_HUMAN,0.5424199567481442,0.0016233766233766,43894.86,153,1.0,186,1.0,175,0.9943181818181818
O15498,YKT6,Synaptobrevin homolog YKT6,YKT6_HUMAN,0.9742106190432094,0.0040983606557377,22417.58,139,0.9084967320261438,164,0.8817204301075269,145,0.8238636363636364
O15511,ARPC5,Actin-related protein 2/3 complex subunit 5,ARPC5_HUMAN,1.810807098482288,0.0016233766233766,16320.42,148,0.9673202614379085,177,0.9516129032258065,166,0.9431818181818182
O43149,ZZEF1,Zinc finger ZZ-type and EF-hand domain-containing protein 1,ZZEF1_HUMAN,1.038372164895917,0.0073810825587752,331075.3,92,0.6013071895424836,107,0.5752688172043011,91,0.5170454545454546
O43157,PLXNB1,Plexin-B1,PLXB1_HUMAN,0.4256913654816718,0.0016233766233766,232297.66,153,1.0,186,1.0,176,1.0
O43173,ST8SIA3,"Alpha-N-acetylneuraminate alpha-2,8-sialyltransferase ST8SIA3",SIA8C_HUMAN,0.5589931385847813,0.0072727272727272,43969.84,130,0.8496732026143791,162,0.8709677419354839,125,0.7102272727272727
O43242,PSMD3,26S proteasome non-ATPase regulatory subunit 3,PSMD3_HUMAN,0.867907809682471,0.0040983606557377,60977.55,125,0.8169934640522876,137,0.7365591397849462,136,0.7727272727272727
O43294,TGFB1I1,Transforming growth factor beta-1-induced transcript 1 protein,TGFI1_HUMAN,1.552860928627799,0.0040983606557377,49814.19,81,0.5294117647058824,97,0.521505376344086,99,0.5625
O43396,TXNL1,Thioredoxin-like protein 1,TXNL1_HUMAN,1.103041261560183,0.0072727272727272,32251.3,138,0.9019607843137255,171,0.9193548387096774,156,0.8863636363636364
O43399,TPD52L2,Tumor protein D54,TPD54_HUMAN,1.429748432514579,0.0073810825587752,22237.72,144,0.9411764705882353,168,0.9032258064516129,157,0.8920454545454546
O43488,AKR7A2,Aflatoxin B1 aldehyde reductase member 2,ARK72_HUMAN,1.267377533042806,0.0040983606557377,39588.97,128,0.8366013071895425,146,0.7849462365591398,137,0.7784090909090909
O43491,EPB41L2,Band 4.1-like protein 2,E41L2_HUMAN,1.031662626981806,0.0072727272727272,112588.08,138,0.9019607843137255,166,0.8924731182795699,152,0.8636363636363636
O43505,B4GAT1,"Beta-1,4-glucuronyltransferase 1",B4GA1_HUMAN,0.5548916926322166,0.0073810825587752,47119.06,116,0.7581699346405228,148,0.7956989247311828,143,0.8125
O43529,CHST10,Carbohydrate sulfotransferase 10,CHSTA_HUMAN,0.7834160544584446,0.0016233766233766,42206.92,144,0.9411764705882353,172,0.9247311827956989,160,0.9090909090909091
O43633,CHMP2A,Charged multivesicular body protein 2a,CHM2A_HUMAN,0.8842009213563078,0.0072727272727272,25103.93,88,0.5751633986928104,106,0.5698924731182796,89,0.5056818181818182
O43665,RGS10,Regulator of G-protein signaling 10,RGS10_HUMAN,1.347504270235312,0.0072727272727272,21209.92,93,0.6078431372549019,108,0.5806451612903226,93,0.5284090909090909
O43681,GET3,ATPase GET3,GET3_HUMAN,1.022639845765506,0.0040983606557377,38792.77,136,0.8888888888888888,156,0.8387096774193549,142,0.8068181818181818
O43707,ACTN4,Alpha-actinin-4,ACTN4_HUMAN,1.633500202236717,0.0016233766233766,104854.04,146,0.954248366013072,182,0.978494623655914,170,0.9659090909090909
O43747,AP1G1,AP-1 complex subunit gamma-1,AP1G1_HUMAN,1.572024095009641,0.0073810825587752,91351.45,78,0.5098039215686274,104,0.5591397849462365,90,0.5113636363636364
O43813,LANCL1,Glutathione S-transferase LANCL1,LANC1_HUMAN,0.7782235228294901,0.0073810825587752,45283.09,82,0.5359477124183006,107,0.5752688172043011,96,0.5454545454545454
O43847,NRDC,Nardilysin,NRDC_HUMAN,2.134707557431316,0.006765899864682,131700.73,114,0.7450980392156863,128,0.6881720430107527,114,0.6477272727272727
O43852,CALU,Calumenin,CALU_HUMAN,1.404009936863712,0.0016233766233766,37106.78,153,1.0,186,1.0,176,1.0
O43866,CD5L,CD5 antigen-like,CD5L_HUMAN,0.6454485256142682,0.0072727272727272,38087.79,153,1.0,185,0.9946236559139785,176,1.0
O43897,TLL1,Tolloid-like protein 1,TLL1_HUMAN,0.5272508671632387,0.0072727272727272,114708.7,138,0.9019607843137255,171,0.9193548387096774,146,0.8295454545454546
O60229,KALRN,Kalirin,KALRN_HUMAN,1.122506232689075,0.0016233766233766,340260.99,120,0.7843137254901961,128,0.6881720430107527,133,0.7556818181818182
O60234,GMFG,Glia maturation factor gamma,GMFG_HUMAN,1.60900718376773,0.0065597667638483,16801.31,124,0.8104575163398693,140,0.7526881720430108,129,0.7329545454545454
O60240,PLIN1,Perilipin-1,PLIN1_HUMAN,5.454413350226416,0.0016233766233766,55990.36,140,0.9150326797385621,162,0.8709677419354839,147,0.8352272727272727
O60245,PCDH7,Protocadherin-7,PCDH7_HUMAN,0.622831320440291,0.0065597667638483,116070.93,125,0.8169934640522876,163,0.8763440860215054,143,0.8125
O60256,PRPSAP2,Phosphoribosyl pyrophosphate synthase-associated protein 2,KPRB_HUMAN,1.028758046667131,0.0016233766233766,40925.73,111,0.7254901960784313,135,0.7258064516129032,122,0.6931818181818182
O60279,SUSD5,Sushi domain-containing protein 5,SUSD5_HUMAN,0.4585200407961531,0.0016233766233766,68021.15,153,1.0,186,1.0,176,1.0
O60306,AQR,RNA helicase aquarius,AQR_HUMAN,0.6801276950916103,0.0073810825587752,171295.28,101,0.6601307189542484,152,0.8172043010752689,131,0.7443181818181818
O60462,NRP2,Neuropilin-2,NRP2_HUMAN,0.4766251070020738,0.0016233766233766,104830.65,153,1.0,186,1.0,176,1.0
O60476,MAN1A2,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",MA1A2_HUMAN,0.742954079818571,0.0040983606557377,73003.55,151,0.9869281045751634,184,0.989247311827957,172,0.9772727272727273
O60488,ACSL4,Long-chain-fatty-acid--CoA ligase 4,ACSL4_HUMAN,2.322651664994277,0.0073810825587752,79188.04,104,0.6797385620915033,140,0.7526881720430108,129,0.7329545454545454
O60493,SNX3,Sorting nexin-3,SNX3_HUMAN,0.8752254462999813,0.0040983606557377,18762.35,135,0.8823529411764706,164,0.8817204301075269,147,0.8352272727272727
O60506,SYNCRIP,Heterogeneous nuclear ribonucleoprotein Q,HNRPQ_HUMAN,1.385585373437584,0.0040983606557377,69602.62,108,0.7058823529411765,114,0.6129032258064516,104,0.5909090909090909
O60610,DIAPH1,Protein diaphanous homolog 1,DIAP1_HUMAN,1.978763928805533,0.0016233766233766,141347.32,140,0.9150326797385621,165,0.8870967741935484,159,0.9034090909090909
O60613,SELENOF,Selenoprotein F,SEP15_HUMAN,0.5253415194708994,0.0073810825587752,18091.8,100,0.6535947712418301,142,0.7634408602150538,114,0.6477272727272727
